Year,Type,Country,Age,Fatal (Y/N),Activity,Specie,Month,Sex
2016,Unprovoked,AUSTRALIA,29,True,Water Activity,white,5,M
2016,Unprovoked,USA,52,False,Water Activity,unknown,5,F
2016,Unprovoked,USA,13,False,Water Activity,unknown,5,M
2016,Unprovoked,USA,57,False,Water Activity,unknown,5,F
2016,Unprovoked,USA,22,False,Water Activity,bull,5,F
2016,Unprovoked,USA,11,False,Water Activity,unknown,5,F
2016,Unprovoked,USA,48,False,Water Activity,blacktip,5,M
2016,Provoked,USA,23,False,Unknown,nurse,5,F
2016,Unprovoked,USA,59,False,Unknown,unknown,5,M
2016,Provoked,NEW ZEALAND,39,False,Fishing,mako,5,M
2016,Unprovoked,INDONESIA,24,False,Water Activity,bull,4,M
2016,Unprovoked,USA,15,False,Water Activity,unknown,4,M
2016,Unprovoked,AUSTRALIA,12,False,Water Activity,unknown,4,M
2016,Provoked,FRENCH POLYNESIA,26,False,Fishing,grey,4,M
2016,Unprovoked,USA,26,False,Fishing,bull,4,M
2016,Unprovoked,NEW CALEDONIA,69,True,Unknown,tiger,4,F
2016,Invalid,CAPE VERDE,60,False,Unknown,unknown,4,M
2016,Unprovoked,USA,34,False,Fishing,unknown,4,M
2016,Unprovoked,USA,46,False,Water Activity,unknown,3,F
2016,Unprovoked,AUSTRALIA,22,False,Water Activity,unknown,3,M
2016,Unprovoked,AUSTRALIA,41,False,Water Activity,unknown,3,M
2016,Provoked,BAHAMAS,9,False,Unknown,nurse,3,M
2016,Unprovoked,USA,19,False,Unknown,unknown,3,M
2016,Unprovoked,FIJI,45,True,Unknown,unknown,3,M
2016,Unprovoked,USA,12,False,Unknown,unknown,3,M
2016,Unprovoked,BRAZIL,41,False,Water Activity,tiger,3,M
2016,Unprovoked,NEW CALEDONIA,21,False,Unknown,unknown,2,M
2016,Unprovoked,NEW CALEDONIA,31,False,Fishing,unknown,2,M
2016,Invalid,CAYMAN ISLANDS,65,False,Unknown,unknown,2,M
2016,Unprovoked,AUSTRALIA,45,False,Unknown,unknown,2,F
2016,Unprovoked,AUSTRALIA,40,False,Unknown,unknown,2,M
2016,Unprovoked,USA,15,False,Water Activity,unknown,1,F
2016,Unprovoked,USA,48,False,Unknown,tiger,1,M
2016,Unprovoked,AUSTRALIA,11,False,Unknown,blacktip,1,M
