Year,Type,Country,Sex ,Age,Fatal (Y/N)
2016.0,Unprovoked,AUSTRALIA,M,31,N
2015.0,Unprovoked,SPAIN,F,38,N
2015.0,Unprovoked,USA,M,71,N
2015.0,Unprovoked,AUSTRALIA,M,43,N
2015.0,Unprovoked,BRAZIL,M,32,N
2015.0,Unprovoked,ARUBA,M,58,Y
2015.0,Unprovoked,BAHAMAS,M,26,N
2015.0,Unprovoked,SOUTH AFRICA,F,22,N
2015.0,Unprovoked,ECUADOR,M,55,N
2015.0,Unprovoked,USA,M,28,N
2015.0,Unprovoked,AUSTRALIA,M,20,N
2015.0,Invalid,USA,F,9,N
2015.0,Unprovoked,USA,M,54,N
2015.0,Unprovoked,USA,F,28,N
2015.0,Unprovoked,MOZAMBIQUE,M,19,N
2015.0,Unprovoked,AUSTRALIA,M,50,N
2015.0,Unprovoked,USA,M,10,N
2015.0,Unprovoked,SOUTH AFRICA,M,42,N
2015.0,Unprovoked,USA,M,21,N
2015.0,Unprovoked,USA,M,21,N
2015.0,Unprovoked,MOZAMBIQUE,F,35,Y
2015.0,Invalid,USA,M,32,N
2015.0,Unprovoked,USA,M,44,N
2015.0,Unprovoked,USA,F,9,N
2015.0,Unprovoked,USA,M,25,N
2015.0,Unprovoked,AUSTRALIA,M,18,N
2015.0,Unprovoked,USA,M,22,N
2015.0,Unprovoked,USA,M,13,N
2015.0,Unprovoked,USA,M,14,N
2015.0,Unprovoked,USA,M,22,N
2015.0,Unprovoked,AUSTRALIA,F,7,N
2015.0,Unprovoked,USA,M,14,N
2015.0,Unprovoked,USA,M,27,N
2015.0,Unprovoked,USA,M,12,N
2015.0,Unprovoked,USA,M,16,N
2015.0,Unprovoked,USA,M,20,N
2015.0,Unprovoked,AUSTRALIA,M,42,N
2015.0,Unprovoked,USA,F,50,N
2015.0,Provoked,USA,M,29,N
2015.0,Unprovoked,AUSTRALIA,M,62,N
2015.0,Unprovoked,THAILAND,F,37,N
2015.0,Unprovoked,USA,F,54,N
2015.0,Unprovoked,USA,M,21,N
2015.0,Unprovoked,AUSTRALIA,M,38,N
2015.0,Unprovoked,USA,M,15,N
2015.0,Unprovoked,USA,F,10,N
2015.0,Unprovoked,USA,M,22,N
2015.0,Invalid,SPAIN,M,10,N
2015.0,Provoked,USA,M,57,N
2015.0,Unprovoked,AUSTRALIA,M,52,N
2015.0,Unprovoked,USA,M,25,N
2015.0,Invalid,USA,F,35,N
2015.0,Unprovoked,AUSTRALIA,M,46,Y
2015.0,Provoked,USA,M,31,N
2015.0,Unprovoked,AUSTRALIA,M,40,N
2015.0,Unprovoked,REUNION,M,45,N
2015.0,Unprovoked,SOUTH AFRICA,M,34,N
2015.0,Unprovoked,USA,M,38,N
2015.0,Invalid,USA,M,39,N
2015.0,Unprovoked,BAHAMAS,F,23,N
2015.0,Unprovoked,USA,M,32,N
2015.0,Unprovoked,AUSTRALIA,M,52,N
2015.0,Unprovoked,AUSTRALIA,M,32,N
2015.0,Unprovoked,USA,M,68,N
2015.0,Unprovoked,USA,M,12,N
2015.0,Unprovoked,USA,M,18,N
2015.0,Unprovoked,SOUTH AFRICA,M,19,N
2015.0,Unprovoked,SOUTH AFRICA,M,23,N
2015.0,Unprovoked,USA,M,43,N
2015.0,Provoked,AUSTRALIA,M,19,N
2015.0,Unprovoked,USA,M,47,N
2015.0,Unprovoked,USA,M,6,N
2015.0,Invalid,AUSTRALIA,F,37,N
2015.0,Unprovoked,USA,M,9,N
2015.0,Unprovoked,PUERTO RICO,M,36,N
2015.0,Unprovoked,USA,M,10,N
2015.0,Unprovoked,USA,M,16,N
2015.0,Unprovoked,USA,F,12,N
2015.0,Unprovoked,USA,F,13,N
2015.0,Unprovoked,USA,M,11,N
2015.0,Unprovoked,USA,F,17,N
2015.0,Unprovoked,REUNION,M,47,N
2015.0,Unprovoked,USA,F,14,N
2015.0,Unprovoked,USA,F,19,N
2015.0,Unprovoked,FRENCH POLYNESIA,M,19,N
2015.0,Unprovoked,USA,F,13,N
2015.0,Unprovoked,USA,M,18,N
2015.0,Unprovoked,USA,M,30,N
2015.0,Unprovoked,NEW CALEDONIA,M,50,Y
2015.0,Unprovoked,SOUTH AFRICA,M,29,N
2015.0,Unprovoked,USA,F,65,Y
2015.0,Unprovoked,USA,M,63,N
2015.0,Unprovoked,AUSTRALIA,M,26,N
2015.0,Unprovoked,AUSTRALIA,M,71,N
2015.0,Unprovoked,USA,M,48,N
2015.0,Unprovoked,REUNION,M,13,Y
2015.0,Unprovoked,USA,M,70,N
2015.0,Invalid,ITALY,M,43,Y
2015.0,Invalid,BRAZIL,M,23,N
2015.0,Boat,SOUTH AFRICA,M,36,N
2015.0,Unprovoked,EGYPT,M,52,Y
2015.0,Unprovoked,USA,M,58,N
2015.0,Unprovoked,FRENCH POLYNESIA,M,9,N
2015.0,Provoked,MEXICO,M,36,N
2015.0,Unprovoked,FRENCH POLYNESIA,M,18 months,N
2015.0,Unprovoked,REUNION,F,22,Y
2015.0,Unprovoked,AUSTRALIA,M,41,Y
2015.0,Unprovoked,AUSTRALIA,M,35,N
2015.0,Boat,AUSTRALIA,M,57,N
2015.0,Provoked,USA,M,20,N
2015.0,Unprovoked,SOUTH AFRICA,M,24,N
2015.0,Unprovoked,AUSTRALIA,M,17,N
2015.0,Invalid,USA,M,38,N
2015.0,Unprovoked,BAHAMAS,F,34,N
2015.0,Unprovoked,SOUTH AFRICA,M,15,N
2015.0,Unprovoked,USA,M,12,N
2014.0,Unprovoked,AUSTRALIA,M,17,Y
2014.0,Unprovoked,USA,M,50,N
2014.0,Provoked,AUSTRALIA,M,40s,N
2014.0,Unprovoked,AUSTRALIA,M,17,Y
2014.0,Unprovoked,AUSTRALIA,M,13,N
2014.0,Provoked,MAURITIUS,M,39,Y
2014.0,Unprovoked,USA,M,44,N
2014.0,Unprovoked,USA,M,53,N
2014.0,Unprovoked,USA,M,18,N
2014.0,Unprovoked,USA,F,34,N
2014.0,Provoked,AUSTRALIA,M,20,N
2014.0,Unprovoked,AUSTRALIA,F,13,N
2014.0,Unprovoked,USA,F,7,N
2014.0,Unprovoked,USA,M,29,N
2014.0,Unprovoked,USA,F,40,N
2014.0,Unprovoked,USA,M,15,N
2014.0,Unprovoked,USA,M,28,N
2014.0,Unprovoked,AUSTRALIA,M,23,N
2014.0,Unprovoked,FRENCH POLYNESIA,F,36,N
2014.0,Unprovoked,AUSTRALIA,M,50,Y
2014.0,Unprovoked,USA,M,43,N
2014.0,Unprovoked,USA,F,20s,N
2014.0,Provoked,USA,M,52,N
2014.0,Unprovoked,SPAIN,M,16,N
2014.0,Unprovoked,USA,F,13,N
2014.0,Unprovoked,USA,M,17,N
2014.0,Provoked,USA,M,33,N
2014.0,Unprovoked,SPAIN,F,30s,N
2014.0,Unprovoked,USA,M,29,N
2014.0,Unprovoked,AUSTRALIA,M,31,N
2014.0,Unprovoked,USA,M,26,N
2014.0,Unprovoked,USA,F,10,N
2014.0,Unprovoked,USA,M,7,N
2014.0,Unprovoked,USA,M,10,N
2014.0,Unprovoked,USA,F,45,N
2014.0,Unprovoked,USA,M,50s,N
2014.0,Unprovoked,USA,M,8,N
2014.0,Unprovoked,SOUTH AFRICA,M,20,N
2014.0,Unprovoked,USA,M,Teen,N
2014.0,Unprovoked,REUNION,M,51,N
2014.0,Unprovoked,USA,M,8,N
2014.0,Unprovoked,USA,M,61,N
2014.0,Unprovoked,USA,M,39,N
2014.0,Invalid,BAHAMAS,M,63,Y
2014.0,Unprovoked,USA,M,14,N
2014.0,Unprovoked,USA,M,19,N
2014.0,Boat,ST. MARTIN,M,48,N
2014.0,Unprovoked,BAHAMAS,M,42,N
2014.0,Unprovoked,AUSTRALIA,M,15,N
2014.0,Unprovoked,BRAZIL,M,43,N
2014.0,Unprovoked,USA,M,16,N
2014.0,Unprovoked,AUSTRALIA,M,39,N
2014.0,Unprovoked,JAPAN,M,43,N
2014.0,Unprovoked,USA,F,14,N
2014.0,Unprovoked,USA,F,22,N
2014.0,Unprovoked,USA,F,37,N
2014.0,Unprovoked,AUSTRALIA,F,29,N
2014.0,Provoked,AUSTRALIA,M,10,N
2014.0,Unprovoked,USA,F,38,N
2014.0,Unprovoked,AUSTRALIA,M,35,N
2014.0,Unprovoked,USA,F,44,N
2014.0,Unprovoked,USA,M,12,N
2014.0,Unprovoked,USA,F,40,N
2014.0,Unprovoked,USA,M,23,N
2014.0,Unprovoked,USA,M ,42,N
2014.0,Unprovoked,USA,M,25,N
2014.0,Unprovoked,USA,M,teen,N
2014.0,Unprovoked,USA,M,teen,N
2014.0,Unprovoked,AUSTRALIA,F,63,Y
2014.0,Invalid,AUSTRALIA,M,38,Y
2014.0,Unprovoked,SOUTH AFRICA,M,66,Y
2014.0,Unprovoked,USA,M,9,N
2014.0,Unprovoked,NEW CALEDONIA,M,42,N
2014.0,Unprovoked,AUSTRALIA,M,42,N
2014.0,Invalid,AUSTRALIA,F,10,N
2014.0,Unprovoked,USA,M,21,N
2014.0,Unprovoked,FRENCH POLYNESIA,M,21,N
2014.0,Boat,PAPUA NEW GUINEA,M,21,N
2014.0,Unprovoked,AUSTRALIA,M,28,Y
2014.0,Unprovoked,NEW ZEALAND,M,28,N
2014.0,Unprovoked,NEW ZEALAND,M,24,N
2014.0,Sea Disaster,JAPAN,M,31,N
2013.0,Unprovoked,NEW CALEDONIA,M,37,N
2013.0,Unprovoked,SOUTH AFRICA,M,19,N
2013.0,Unprovoked,KIRIBATI,M,35,N
2013.0,Unprovoked,USA,M,29,N
2013.0,Unprovoked,USA,M,30,N
2013.0,Unprovoked,AUSTRALIA,M,26,N
2013.0,Unprovoked,USA,M,57,Y
2013.0,Unprovoked,AUSTRALIA,M,19,Y
2013.0,Unprovoked,USA,F,58,N
2013.0,Unprovoked,AUSTRALIA,M,35,Y
2013.0,Unprovoked,USA,M,25,N
2013.0,Provoked,BAHAMAS,M,77,N
2013.0,Unprovoked,USA,M,16,N
2013.0,Unprovoked,USA,M,46,N
2013.0,Unprovoked,AUSTRALIA,F,60,N
2013.0,Unprovoked,REUNION,M,24,N
2013.0,Unprovoked,AUSTRALIA,M,41,N
2013.0,Unprovoked,USA,M,45,N
2013.0,Unprovoked,USA,M,25,N
2013.0,Unprovoked,USA,M,6,N
2013.0,Unprovoked,SOUTH AFRICA,M,74,Y
2013.0,Unprovoked,AUSTRALIA,M,55,N
2013.0,Unprovoked,USA,M,45,N
2013.0,Unprovoked,USA,M,12,N
2013.0,Unprovoked,USA,M,50,N
2013.0,Provoked,ISRAEL,M,27,N
2013.0,Unprovoked,USA,M,7,N
2013.0,Unprovoked,USA,M,45,N
